dyn_page_len,dyn_page_tag_num,dyn_page_tech_num,dyn_page_domain_type_num,dyn_page_like_req_domain_num,dyn_page_unlike_req_domain_num,dyn_page_hidden_tag_num,dyn_page_have_copyright,dyn_page_have_redirect,dyn_res_is_redirect,dyn_res_headers_type_num,dyn_res_constitute_url_num,dyn_res_constitute_domain_type
184797,1245,0,165,165,0,31,0,0,0,0,111,111
0,0,0,0,0,0,0,0,0,0,0,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0
2037,7,0,0,0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
33425,207,1,20,20,0,0,0,0,0,0,197,197
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
573,1,0,0,0,0,0,0,0,0,0,24,24
330,0,0,0,0,0,-1,0,0,0,0,37,37
25191,133,0,15,15,0,6,0,0,0,0,375,375
0,0,0,0,0,0,0,0,0,0,0,1,1
128614,197,0,3,0,3,0,0,0,0,0,65,65
0,0,0,0,0,0,0,0,0,0,0,0,0
22894,56,0,7,2,5,0,0,0,0,0,35,35
43669,116,0,2,2,0,-1,0,0,0,0,55,55
