page_len,page_tag_num,page_tech_num,page_domain_type_num,page_like_req_domain_num,page_unlike_req_domain_num,page_hidden_tag_num,page_have_copyright,page_have_redirect
60407,217,2,20,18,2,3,1,0
379011,1315,6,182,158,24,28,1,0
98465,320,2,18,15,3,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
393635,803,1,73,57,16,0,1,0
6885,75,1,9,9,0,0,0,0
83588,1004,3,347,293,54,0,1,0
14361,99,2,3,3,0,0,0,0
544946,1762,1,300,264,36,11,1,0
2313319,3948,6,507,504,3,12,1,0
48748,146,5,4,4,0,1,0,0
813929,4722,7,452,449,3,6,0,0
103718,280,7,11,11,0,6,0,0
130319,564,12,102,86,16,9,0,0
306520,531,2,39,38,1,4,0,0
66594,758,8,37,37,0,13,1,0
39819,362,7,49,45,4,3,1,0
0,0,0,0,0,0,0,0,0
368821,2157,1,335,152,183,18,0,0
672050,4320,11,721,671,50,35,1,0
0,0,0,0,0,0,0,0,0
394305,2090,4,428,418,10,8,1,0
198382,899,3,158,149,9,5,1,0
210424,277,0,18,12,6,0,1,0
845757,2887,1,431,390,41,11,1,0
413195,1257,1,371,346,25,13,0,0
414633,2615,5,341,315,26,1,1,0
339067,4000,3,1062,1049,13,63,1,0
0,0,0,0,0,0,0,0,0
759544,2865,5,300,271,29,6,1,0
414708,1337,6,136,128,8,5,1,0
414374,1174,5,14,12,2,18,1,0
1062621,1534,7,294,265,29,19,1,0
1277855,1394,5,159,150,9,6,1,0
334222,1759,1,120,111,9,3,1,0
0,0,0,0,0,0,0,0,0
1462078,3440,2,24,14,10,136,1,0
216046,950,2,149,126,23,1,1,0
1319134,3501,2,597,267,330,2,1,0
0,0,0,0,0,0,0,0,0
208484,277,0,18,15,3,0,1,0
462697,4091,2,633,368,265,3,1,0
1301,15,0,2,0,2,0,0,0
29255,302,2,43,42,1,2,1,0
196807,1124,1,100,61,39,0,0,0
443274,2214,1,659,635,24,3,1,0
158822,1428,11,421,410,11,16,1,0
0,0,0,0,0,0,0,0,0
919266,6083,4,100,88,12,14,1,0
0,0,0,0,0,0,0,0,0
208561,277,0,18,15,3,0,1,0
0,0,0,0,0,0,0,0,0
702756,2170,5,225,220,5,61,0,0
401688,762,3,51,47,4,4,0,0
112540,38,0,1,1,0,2,0,0
350501,1776,8,166,82,84,9,1,0
1174372,10162,9,2170,2158,12,11,1,0
59530,174,9,6,4,2,1,0,0
306431,2251,2,325,312,13,3,1,0
210395,277,0,18,9,9,0,1,0
349060,2386,4,249,224,25,58,1,0
42388,436,3,80,50,30,60,1,0
11077,90,3,22,19,3,0,1,0
22880,192,3,23,17,6,1,1,0
677668,1945,3,179,111,68,3,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
382751,3832,0,611,521,90,3,0,0
14001,154,1,17,8,9,1,0,0
14128,262,2,37,18,19,9,1,0
208480,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
48677,310,2,44,22,22,2,1,0
29115,171,1,16,8,8,2,1,0
656204,2094,3,123,114,9,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
447252,2901,6,667,527,140,29,1,0
0,0,0,0,0,0,0,0,0
540103,2699,2,395,378,17,35,1,0
187960,2177,1,91,75,16,61,1,0
154824,610,3,33,27,6,1,1,0
0,0,0,0,0,0,0,0,0
400661,1316,3,232,222,10,1,0,0
593019,1481,5,239,225,14,3,0,0
472934,1803,7,363,356,7,3,1,0
16691,128,6,11,11,0,4,0,0
0,0,0,0,0,0,0,0,0
210408,277,0,18,12,6,0,1,0
1367793,3585,11,192,140,52,9,1,0
61181,253,9,7,0,7,12,0,0
56869,639,2,160,142,18,0,1,0
701811,2879,6,220,214,6,30,1,1
0,0,0,0,0,0,0,0,0
364243,1399,4,146,62,84,2,0,0
212323,225,0,46,31,15,2,1,0
0,0,0,0,0,0,0,0,0
287691,1998,5,669,650,19,12,1,0
250953,1714,5,597,572,25,12,1,0
6224,80,1,9,6,3,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
837044,1889,5,196,182,14,7,1,0
0,0,0,0,0,0,0,0,0
723644,746,4,75,63,12,6,1,0
108381,247,3,36,30,6,2,1,0
127242,964,6,227,201,26,6,1,0
364259,471,5,41,10,31,16,1,0
0,0,0,0,0,0,0,0,0
474574,1778,1,392,143,249,11,1,0
387764,3180,4,235,228,7,8,1,0
229103,334,4,46,39,7,8,1,0
210399,277,0,18,10,8,0,1,0
1067245,2376,3,215,212,3,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5023,63,1,12,9,3,0,0,0
209956,294,0,16,10,6,1,1,0
0,0,0,0,0,0,0,0,0
393864,3212,6,226,222,4,107,1,0
133422,292,5,14,12,2,2,0,0
443203,2027,6,457,439,18,21,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4166857,12074,13,1531,1523,8,29,1,0
67536,807,6,120,21,99,26,1,0
0,0,0,0,0,0,0,0,0
1077229,7470,2,1726,1342,384,181,1,0
19939,169,2,24,23,1,4,1,0
0,0,0,0,0,0,0,0,0
208501,277,0,18,14,4,0,1,0
0,0,0,0,0,0,0,0,0
1225881,5112,2,1012,954,58,7,1,0
424425,610,0,35,33,2,0,1,0
495311,1154,1,99,59,40,0,1,0
18821,102,0,24,16,8,0,0,0
1117546,4427,1,553,279,274,2,1,0
5902,61,0,3,2,1,0,1,0
136390,629,7,101,91,10,5,1,0
0,0,0,0,0,0,0,0,0
6195,54,1,0,0,0,0,0,1
104951,1295,2,419,409,10,17,1,0
9673,156,0,15,1,14,1,1,0
5843,124,1,10,10,0,1,1,0
208449,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
133440,1596,2,580,566,14,50,1,0
933091,5012,5,376,365,11,236,1,0
781949,3313,9,697,376,321,24,1,0
54256,599,6,137,131,6,9,1,0
154068,135,0,8,6,2,0,1,0
137880,670,5,75,58,17,0,0,0
375450,3934,7,246,246,0,11,0,0
624590,1318,10,234,161,73,23,0,0
212508,972,2,54,48,6,7,1,0
210453,277,0,18,9,9,0,1,0
712836,2327,2,498,10,488,15,1,0
208406,277,0,18,9,9,0,1,0
287363,1181,2,284,284,0,10,1,0
64170,379,3,33,24,9,14,1,0
9685,156,0,15,1,14,1,1,0
5843,124,1,10,10,0,1,1,0
586145,2245,5,367,340,27,27,1,0
192725,1352,3,320,260,60,2,1,0
208512,277,0,18,10,8,0,1,0
0,0,0,0,0,0,0,0,0
32042,343,0,105,101,4,0,0,0
59443,561,3,55,53,2,6,1,0
1080800,4489,8,683,676,7,27,1,0
142723,2574,2,505,502,3,1,1,0
668503,2892,6,365,286,79,17,1,0
596722,1921,1,396,218,178,24,1,0
79947,117,2,11,6,5,2,0,0
472090,1295,4,249,230,19,25,1,0
123709,817,11,128,101,27,2,0,0
204843,278,0,18,9,9,0,1,0
166658,774,2,247,230,17,8,1,0
62473,365,0,115,114,1,0,1,0
0,0,0,0,0,0,0,0,0
216005,1861,5,211,208,3,9,1,0
520445,2198,4,308,59,249,5,1,0
115720,1138,6,303,299,4,9,1,0
0,0,0,0,0,0,0,0,0
534972,2640,8,361,339,22,24,1,0
399250,309,7,2,2,0,12,1,0
44192,696,2,162,150,12,1,1,0
123272,1144,3,124,28,96,8,0,0
25329,238,3,23,18,5,5,0,0
125717,2185,3,689,655,34,12,1,0
83802,106,1,16,12,4,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
208499,277,0,18,13,5,0,1,0
457719,1927,10,447,350,97,14,1,0
525603,2598,6,225,172,53,9,1,0
199972,1065,2,178,145,33,17,1,0
113945,840,4,87,53,34,0,1,0
78304,1030,3,6,0,6,2,0,0
63354,238,0,46,25,21,0,1,1
109079,391,0,46,40,6,1,1,1
455273,2124,7,526,452,74,7,1,0
455314,2124,7,526,452,74,7,1,0
73665,792,2,160,145,15,8,1,0
624556,965,5,103,43,60,18,1,0
994194,1008,4,89,76,13,11,1,0
210383,277,0,18,9,9,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
635203,1994,2,160,152,8,7,1,1
268120,135,1,8,5,3,5,1,1
99854,1270,5,260,244,16,31,1,0
0,0,0,0,0,0,0,0,0
361894,1508,9,275,246,29,101,1,0
208402,277,0,18,10,8,0,1,0
195479,1510,9,316,193,123,9,1,0
64690,186,10,6,3,3,2,0,0
246032,1244,3,228,220,8,12,0,0
1027767,3618,6,668,633,35,21,1,0
0,0,0,0,0,0,0,0,0
515823,2595,9,461,417,44,19,1,0
209266,129,0,5,1,4,0,1,0
480553,2062,7,191,173,18,22,1,0
201137,522,7,18,12,6,11,1,0
781498,3826,7,243,214,29,224,1,0
3335729,35048,8,3587,2528,1059,51,1,0
47106,132,8,3,0,3,0,1,0
165403,1497,9,220,74,146,22,1,0
341465,2776,4,714,704,10,34,1,0
126396,462,4,69,60,9,9,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
22659,41,0,2,1,1,0,1,0
658867,3206,7,388,264,124,21,0,0
106795,1943,2,86,0,86,24,1,0
208992,277,0,18,10,8,0,1,0
209222,276,0,17,9,8,0,1,0
271630,269,2,6,6,0,2,1,1
261765,178,2,0,0,0,2,1,1
289811,1820,6,429,394,35,15,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1203155,7154,3,327,319,8,4,1,0
808519,3778,3,75,65,10,3,1,0
106309,1342,1,429,227,202,2,0,0
0,0,0,0,0,0,0,0,0
23888,289,3,61,52,9,1,1,0
708944,4202,3,359,336,23,55,1,0
205242,890,2,3,3,0,8,0,0
358257,1499,4,107,81,26,5,1,0
29816,149,2,5,5,0,2,0,0
231478,895,3,148,138,10,45,1,0
244255,945,3,115,105,10,42,1,0
813440,5460,3,393,350,43,286,0,0
45378,117,2,7,7,0,0,0,0
297940,1336,5,201,183,18,4,1,1
162635,285,3,10,9,1,1,0,1
419765,3060,6,444,432,12,55,1,0
186763,193,6,2,2,0,3,0,0
0,0,0,0,0,0,0,0,0
21215,100,3,9,7,2,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
855492,1821,8,179,163,16,16,1,0
0,0,0,0,0,0,0,0,0
6547,117,0,28,27,1,0,0,0
400362,1044,3,206,190,16,9,1,0
242199,1623,4,326,129,197,6,1,0
4398995,4113,8,723,666,57,49,1,0
2545960,582,3,41,23,18,49,1,0
275521,1055,6,216,201,15,7,1,0
0,0,0,0,0,0,0,0,0
97214,466,2,71,64,7,3,1,0
477149,1564,8,546,524,22,22,1,0
331984,2723,5,436,396,40,46,0,0
93744,275,0,47,24,23,0,1,1
1108032,1619,4,125,72,53,58,1,0
112621,522,4,105,74,31,7,1,0
143693,428,3,134,97,37,4,1,0
168709,170,0,73,52,21,0,1,0
9689,156,0,15,7,8,1,1,0
5843,124,1,10,10,0,1,1,0
322145,1966,6,283,258,25,3,1,0
312821,1985,8,239,208,31,4,1,0
0,0,0,0,0,0,0,0,0
16174,64,1,5,1,4,0,0,0
792396,5682,1,1275,1001,274,15,1,0
163499,332,1,73,24,49,0,1,0
1134978,4681,17,345,289,56,1,1,0
310365,1677,1,323,318,5,4,1,0
163499,332,1,73,24,49,0,1,0
139802,2929,1,1040,1040,0,73,1,0
18107,306,1,40,39,1,9,0,0
1694964,2505,8,260,226,34,20,1,0
0,0,0,0,0,0,0,0,0
459832,2531,2,753,134,619,6,1,1
139830,221,2,25,19,6,6,1,0
0,0,0,0,0,0,0,0,0
1554601,1231,4,205,198,7,4,1,0
466581,98,0,5,5,0,0,1,0
116492,581,2,82,75,7,25,1,0
338777,2929,10,812,803,9,10,1,0
652139,3464,4,271,260,11,5,1,0
1343595,1337,7,59,53,6,24,1,0
323805,1386,5,78,77,1,1,0,0
117584,215,2,13,12,1,1,0,0
1787465,5697,6,385,378,7,2,1,0
0,0,0,0,0,0,0,0,0
51031,453,3,112,85,27,4,1,0
126128,1036,4,140,123,17,3,1,0
45329,202,2,7,6,1,2,0,0
678185,3408,8,162,102,60,14,1,0
269599,570,5,22,21,1,9,0,0
850331,2903,2,403,385,18,15,1,0
477078,2494,9,572,456,116,2,1,0
203299,321,6,33,30,3,4,1,0
1406155,8198,2,682,612,70,251,0,0
1757937,4599,8,632,527,105,6,0,0
208510,277,0,18,9,9,0,1,0
375058,1350,1,252,210,42,10,1,0
35369,341,0,6,4,2,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
699786,771,8,93,81,12,12,1,0
178272,848,4,116,74,42,3,1,0
10862,99,2,17,14,3,3,1,0
339196,1585,9,269,255,14,53,1,0
700902,5370,9,271,259,12,53,1,0
0,0,0,0,0,0,0,0,0
433994,1608,12,345,296,49,20,1,0
210112,277,0,18,9,9,0,1,0
210347,277,0,18,9,9,0,1,0
809914,2093,2,407,332,75,11,1,0
267368,220,0,25,8,17,5,1,0
0,0,0,0,0,0,0,0,0
912803,3326,2,248,227,21,149,0,0
48080,202,5,11,11,0,4,0,0
193331,1656,6,185,8,177,3,1,0
669294,3558,7,206,187,19,5,1,0
209087,1174,2,96,79,17,1,0,0
226642,1570,5,405,377,28,14,1,0
470083,3280,5,418,418,0,19,1,0
29347,442,3,52,44,8,1,1,0
4557,45,1,6,6,0,0,0,0
82994,500,0,65,58,7,0,1,0
84148,384,0,33,30,3,0,1,0
396275,1399,4,178,151,27,13,1,0
188544,2614,6,358,292,66,17,1,0
840931,2305,4,382,379,3,19,1,0
1245637,1637,7,371,358,13,12,1,0
8430286,1431,7,263,250,13,9,1,0
500765,4329,8,1244,1238,6,23,1,0
1563570,1356,3,165,140,25,16,1,0
15362,145,0,35,31,4,2,1,0
282326,796,7,43,42,1,9,1,0
111064,226,3,18,18,0,6,1,0
71931,707,4,124,117,7,13,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
482225,294,0,18,9,9,1,1,0
211304,2340,8,432,423,9,12,1,0
329775,1496,6,187,180,7,5,1,0
126929,396,10,60,60,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
708732,1703,3,100,96,4,1,0,0
22918,40,0,1,1,0,0,1,0
267969,2745,3,1046,939,107,13,0,0
0,0,0,0,0,0,0,0,0
391107,1705,8,216,194,22,20,1,0
79871,107,0,15,12,3,2,1,0
212642,886,4,73,49,24,1,1,0
844649,2698,9,497,479,18,11,1,0
190371,1197,6,244,224,20,12,1,0
243696,1658,6,378,366,12,23,1,0
89955,731,1,313,312,1,0,0,0
796577,2731,3,615,564,51,6,1,0
465430,154,5,9,6,3,6,1,0
305735,1896,5,288,248,40,5,0,0
8971,100,0,6,6,0,0,0,0
789128,3357,3,473,464,9,12,1,0
144876,275,1,17,15,2,0,0,0
146128,302,5,13,12,1,3,1,0
499972,3025,5,518,355,163,22,1,0
21961,158,1,6,4,2,1,0,0
2068905,3711,7,542,418,124,25,1,0
450142,3405,6,736,718,18,3,1,0
767,5,0,0,0,0,0,0,0
253826,1367,6,137,115,22,16,1,0
126162,1117,5,229,216,13,12,1,1
696436,4950,7,846,777,69,4,0,0
296556,905,5,70,28,42,13,1,0
112990,466,5,32,29,3,0,1,0
213078,2008,4,237,228,9,29,1,0
36684,429,0,106,26,80,5,1,0
72541,739,2,85,83,2,4,1,0
258012,1805,8,304,273,31,6,1,1
73671,389,0,43,39,4,0,1,1
406145,3303,2,214,208,6,1,0,0
693913,1057,5,116,109,7,25,1,0
672963,3971,11,250,220,30,56,1,0
0,0,0,0,0,0,0,0,0
230376,1346,6,169,109,60,6,1,0
347826,330,3,31,23,8,0,1,0
0,0,0,0,0,0,0,0,0
482410,294,0,18,9,9,1,1,0
0,0,0,0,0,0,0,0,0
808472,4279,6,653,594,59,27,1,0
301390,1169,3,406,171,235,8,1,0
29775,173,4,28,28,0,2,1,0
890379,2676,7,510,497,13,6,1,0
803346,1758,9,374,358,16,23,1,0
0,0,0,0,0,0,0,0,0
232885,769,3,59,50,9,15,1,0
171950,467,6,40,29,11,5,1,0
434285,2142,4,94,72,22,28,0,0
445793,1080,8,115,98,17,9,1,0
449961,2414,8,537,405,132,28,1,1
603491,3391,14,597,589,8,50,1,0
136632,386,3,92,85,7,3,1,0
1168291,2480,4,402,367,35,12,1,0
221737,198,0,17,8,9,5,1,0
484082,2204,5,151,122,29,7,1,0
0,0,0,0,0,0,0,0,0
1137021,3451,6,376,354,22,118,1,0
169745,660,5,118,92,26,5,1,0
195640,787,6,74,64,10,7,1,0
0,0,0,0,0,0,0,0,0
513764,2744,16,357,337,20,24,1,0
47399,310,5,84,80,4,4,1,0
0,0,0,0,0,0,0,0,0
403838,1876,5,321,317,4,21,1,0
40291,540,1,61,40,21,10,1,0
167548,1253,1,168,143,25,1,1,0
0,0,0,0,0,0,0,0,0
1296296,1832,3,88,81,7,5,1,0
382009,83,0,4,4,0,0,1,0
275397,2667,10,143,121,22,13,1,0
138206,165,1,10,4,6,7,1,0
74820,268,9,42,42,0,1,1,0
112513,1034,3,82,73,9,6,1,1
112317,809,4,217,199,18,5,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
523976,2431,5,199,191,8,91,1,0
1831978,15448,6,592,583,9,4,1,0
530470,1554,7,59,55,4,10,1,0
66825,1114,3,332,328,4,12,1,0
72807,252,2,4,4,0,4,0,0
260632,784,9,79,78,1,64,1,0
0,0,0,0,0,0,0,0,0
810043,2386,1,377,322,55,4,1,0
532270,1816,5,318,299,19,14,1,0
594506,1196,7,288,275,13,17,1,0
186063,888,0,205,205,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
707447,3234,2,453,358,95,3,1,0
152511,799,5,50,33,17,1,1,0
1464379,7649,6,1640,1480,160,16,1,0
114771,1368,2,232,202,30,3,1,0
184673,679,2,94,72,22,14,1,0
19383,134,4,54,39,15,1,1,0
6701,55,4,4,4,0,0,0,0
0,0,0,0,0,0,0,0,0
490365,1026,6,136,118,18,7,1,0
297778,878,10,144,24,120,21,1,0
0,0,0,0,0,0,0,0,0
116708,563,6,35,20,15,3,1,0
976703,3567,17,697,612,85,66,1,1
98332,409,12,4,4,0,9,0,0
157956,2478,6,762,756,6,37,1,0
67044,1382,6,387,381,6,17,1,0
1038946,2127,10,289,269,20,40,1,0
454455,1906,5,253,246,7,1,1,0
20507,272,5,33,30,3,2,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
85241,71,0,10,10,0,6,0,0
5224,66,6,5,0,5,0,0,0
647686,884,7,73,58,15,2,0,0
16085,89,1,8,5,3,1,0,0
31930,277,8,36,27,9,4,1,0
